M	I	Q	A	RL
6.27	11	5.5	42	3.16
2.83	7	5.5	36	9.01
1.82	6	7.5	36	9.73
4.29	8	7.5	36	5.05
5.56	5	7.5	36	5.45
3.23	11	7.5	42	6.39
1.56	16	7.5	32	9.83
1.63	11	7.5	42	15.26
19.26	3	5.5	42	0.64
3.31	12	7.5	32	7.93
9.23	8	7.5	32	2.32
7.78	12	7.5	42	3.23
19.26	13	7.5	42	2.56
11.2	2	5.5	62	1.78
11.45	13	7.5	67	1.15
5.09 	4	7.5	52	2.55
4.37 	4	7.5	52	2.67
4.44 	4	7.5	52	6.37
4.21 	4	7.5	52	6.24
4.93 	5	11	50	7.05
4.76 	5	11	50	6.7
4.69 	5	13	50	5.88
4.57 	5	11	50	6.74
4.21 	5	11	50	6.91
6.57 	5	11	50	2.19
4.63 	6	13	50	6.37
4.87 	7	13	50	6.83
4.55 	8	13	50	6.09
7.44 	7	13	50	2.34
4.73 	6	11	50	6.23
6.76 	1	11	50	1.27
6.03 	14	9.2	50	3.65
4.77 	1	9.2	50	5.61
5.69 	12	11	50	4.75
4.48 	6	9	45	5.56
4.64 	5	9	45	6.7
4.99 	5	9	45	5.42
6.66 	6	9	45	3.24
5.56 	6	11	50	5.71
4.79 	5	11	50	6.92
9.67 	30	11	50	1.92
6.67 	6	13	91	2.32
5.23 	6	13	91	4.5
4.23 	7	13	91	5.19
4.56 	6	13	91	5.61
3.54 	6	13	91	6.03
5.41 	1	11	65	2.09
10.77 	6	13	91	2.11
7.52 	5	13.5	91	6.13
9.44 	6	13	91	2.78
13.64 	6	11	50	2.09
8.46 	5	13	50	1.2
10.52 	5	11	50	5.44
5.40 	5	11	50	2.5
3.42 	29	9	33	6.54
4.57 	7	18	20	5.67
5.12 	7	18	20	2.85
5.67 	11	9.2	45	1.87
6.57 	6	9.2	45	3.41
3.76 	12	11	33	6.58
4.70 	6	13	50	5.91
6.00 	12	10.3	33	1.4
6.00 	16	13	50	2.84
4.50 	2	11	33	6.3
5.00 	1	11	33	2.17
7.1	5	11	33	3.08
6.76	5	11	33	3.44
5.65	5	11	33	4.34
6.98	15	11	33	3.18
5.87	5	11	33	2.4
6.54	5	11	33	3.32
6.23	6	15	50	3.51
6.64	12	11	33	3.3
5.25	12	11	33	2.81
7.01	10	15	50	3.15
6.67	17	11	40	3.3
6.24	10	7.5	22	3.63
2.8	8	15	35	7.99
3.2	8	15	50	7.5
5.26	10	7.5	22	4.87
4.79	14	15	50	5.27
4.57	2	7.5	22	2.51
7.03	4	7.5	22	3.53
6.62	12	15	50	3.03
5.84	10	15	50	2.03
4.8	10	11	40	2
5.44	11	11	33	2.6
2.97	14	11	33	7.18
6.04	11	11	33	4
6.49	20	13	55	3.72
3.87	14	11	40	6.01
5.61	11	11	40	2.59
8.21	44	11	40	1.11
7.92	14	11	40	2.59
3.65	11	7.5	22	6
5.69	10	17	60	2.98
7.35	25	15	50	3.42
7.07	25	15	50	3.65
7.22	20	15	50	3.01
5.58	20	15	50	2.8
6	26	7.5	22	3.9
5.05	16	11	33	4.9
6.74	16	11	40	3.4
3.68	16	11	40	6.28
5.9	14	11	40	1.64
5.2	6	11	40	2.6
2.41	7	15	50	8.4
5.8	12	11	33	2.6
6.8	10	11	33	3.3
5.9	13	7.5	22	2.41
6.4	14	11	33	3.52
6.58	10	7.5	22	3.17
7.13	35	11	40	3.35
5.42	19	7.5	22	4.05
4.83	26	11	40	5.24
5.86	8	13	55	4.03
6.71	6	10.5	30	3.43
5.6	17	6	20	4.3
6.2	12	11	33	2.72
5.54	1	13	55	4.99
7.07	49	13	55	3.07
5.18	49	15	50	2.12
5.89	12	15	50	2.77
5.98	28	15	50	2.4
6.4	30	10	30	2.75
7.17	44	10	30	3.14
4.78	14	10	30	5.3
7.12	14	10	30	3.36
6.73	6	10	30	2.67
8.41	8	10	30	1.23
5.6	12	7.5	22	4.87
5.78	12	7.5	22	4.23
5.45	10	11	33	4.65
4.98	13	11	33	5.12
6.12	14	11	33	2.1
6.53	10	11	33	1.91
4.68	8	13	55	5.36
8.12	10	13	55	1.88
8.18	12	13	55	1.86
6.98	15	11	40	2.05
8.05	7	11	40	1.93
5.64	11	11	40	4.39
7.65	9	11	40	1.64
5.68	13	13	55	4.63
7.98	11	7.5	22	1.79
6.87	14	11	33	2.14
5.64	11	11	33	4.71
7.58	15	13	55	1.96
5.45	16	11	33	4.52
7.12	14	13	55	1.84
5.26	37	11	40	4.23
4.68	1	13	55	5.24
4.57	8	11	33	5.42
5.68	6	11	33	4.84
6.26	8	11	33	2.44
4.62	8	13	55	5.43
6.78	8	11	40	2.61
7.12	15	11	40	1.63
7.01	14	11	40	3.26
7.05	10	13	55	1.78
6.86	20	13	55	3.59
6.48	14	13	55	3.81
3.87	24	13	55	6.59
7.28	17	13	55	1.87
5.84	14	13	55	4.2
7.39	16	13	55	1.78
6.02	12	13	55	4.1
5.87	16	13	55	4.27
